second_idx,buy_price_threshold
588,0.9347606712
589,0.9349113095
590,0.9350616947
591,0.9352118274
592,0.9353617086
593,0.935511339
594,0.9356607196
595,0.9358098512
596,0.9359587345
597,0.9361073705
598,0.9362557599
599,0.9364039035
600,0.9365518023
601,0.9366994569
602,0.9368468681
603,0.9369940369
604,0.9371409639
605,0.93728765
606,0.937434096
607,0.9375803025
608,0.9377262706
609,0.9378720008
610,0.938017494
611,0.9381627509
612,0.9383077724
613,0.9384525591
614,0.9385971118
615,0.9387414314
616,0.9388855185
617,0.9390293738
618,0.9391729982
619,0.9393163924
620,0.939459557
621,0.939602493
622,0.9397452008
623,0.9398876814
624,0.9400299354
625,0.9401719635
626,0.9403137665
627,0.9404553451
628,0.9405966999
629,0.9407378317
630,0.9408787412
631,0.9410194291
632,0.9411598961
633,0.9413001428
634,0.94144017
635,0.9415799784
636,0.9417195686
637,0.9418589413
638,0.9419980972
639,0.9421370369
640,0.9422757612
641,0.9424142707
642,0.942552566
643,0.9426906479
644,0.9428285169
645,0.9429661738
646,0.9431036192
647,0.9432408537
648,0.943377878
649,0.9435146928
650,0.9436512986
651,0.9437876961
652,0.9439238859
653,0.9440598687
654,0.9441956452
655,0.9443312158
656,0.9444665813
657,0.9446017423
658,0.9447366993
659,0.944871453
660,0.9450060041
661,0.9451403531
662,0.9452745006
663,0.9454084472
664,0.9455421935
665,0.9456757402
666,0.9458090878
667,0.945942237
668,0.9460751882
669,0.9462079421
670,0.9463404993
671,0.9464728604
672,0.9466050259
673,0.9467369964
674,0.9468687725
675,0.9470003548
676,0.9471317438
677,0.9472629401
678,0.9473939443
679,0.9475247568
680,0.9476553784
681,0.9477858095
682,0.9479160508
683,0.9480461026
684,0.9481759657
685,0.9483056405
686,0.9484351276
687,0.9485644275
688,0.9486935408
689,0.9488224681
690,0.9489512097
691,0.9490797664
692,0.9492081386
693,0.9493363268
694,0.9494643315
695,0.9495921534
696,0.9497197929
697,0.9498472505
698,0.9499745267
699,0.9501016222
700,0.9502285373
701,0.9503552726
702,0.9504818286
703,0.9506082058
704,0.9507344047
705,0.9508604258
706,0.9509862696
707,0.9511119367
708,0.9512374274
709,0.9513627424
710,0.951487882
711,0.9516128469
712,0.9517376374
713,0.951862254
714,0.9519866973
715,0.9521109677
716,0.9522350657
717,0.9523589918
718,0.9524827465
719,0.9526063302
720,0.9527297433
721,0.9528529865
722,0.9529760601
723,0.9530989645
724,0.9532217004
725,0.9533442681
726,0.9534666681
727,0.9535889008
728,0.9537109667
729,0.9538328663
730,0.9539546
731,0.9540761682
732,0.9541975715
733,0.9543188102
734,0.9544398849
735,0.9545607959
736,0.9546815436
737,0.9548021286
738,0.9549225513
739,0.9550428121
740,0.9551629114
741,0.9552828497
742,0.9554026274
743,0.9555222449
744,0.9556417027
745,0.9557610011
746,0.9558801407
747,0.9559991218
748,0.9561179449
749,0.9562366103
750,0.9563551186
751,0.95647347
752,0.9565916651
753,0.9567097042
754,0.9568275877
755,0.9569453161
756,0.9570628898
757,0.9571803091
758,0.9572975745
759,0.9574146864
760,0.9575316452
761,0.9576484512
762,0.9577651049
763,0.9578816067
764,0.957997957
765,0.9581141561
766,0.9582302045
767,0.9583461025
768,0.9584618506
769,0.958577449
770,0.9586928983
771,0.9588081988
772,0.9589233508
773,0.9590383549
774,0.9591532112
775,0.9592679203
776,0.9593824824
777,0.9594968981
778,0.9596111675
779,0.9597252912
780,0.9598392695
781,0.9599531027
782,0.9600667913
783,0.9601803355
784,0.9602937358
785,0.9604069926
786,0.9605201061
787,0.9606330768
788,0.960745905
789,0.960858591
790,0.9609711353
791,0.9610835382
792,0.9611958
793,0.961307921
794,0.9614199018
795,0.9615317425
796,0.9616434436
797,0.9617550053
798,0.9618664281
799,0.9619777123
800,0.9620888582
801,0.9621998662
802,0.9623107366
803,0.9624214698
804,0.9625320661
805,0.9626425257
806,0.9627528492
807,0.9628630368
808,0.9629730888
809,0.9630830055
810,0.9631927874
811,0.9633024347
812,0.9634119478
813,0.963521327
814,0.9636305726
815,0.9637396849
816,0.9638486643
817,0.9639575111
818,0.9640662256
819,0.9641748082
820,0.9642832591
821,0.9643915787
822,0.9644997673
823,0.9646078252
824,0.9647157527
825,0.9648235502
826,0.9649312179
827,0.9650387561
828,0.9651461653
829,0.9652534456
830,0.9653605975
831,0.9654676211
832,0.9655745169
833,0.965681285
834,0.9657879259
835,0.9658944398
836,0.966000827
837,0.9661070879
838,0.9662132226
839,0.9663192316
840,0.9664251151
841,0.9665308735
842,0.9666365069
843,0.9667420158
844,0.9668474003
845,0.9669526608
846,0.9670577977
847,0.9671628111
848,0.9672677013
849,0.9673724688
850,0.9674771136
851,0.9675816362
852,0.9676860368
853,0.9677903157
854,0.9678944732
855,0.9679985095
856,0.968102425
857,0.9682062199
858,0.9683098945
859,0.9684134491
860,0.968516884
861,0.9686201994
862,0.9687233956
863,0.9688264729
864,0.9689294315
865,0.9690322718
866,0.969134994
867,0.9692375984
868,0.9693400852
869,0.9694424547
870,0.9695447072
871,0.969646843
872,0.9697488623
873,0.9698507653
874,0.9699525524
875,0.9700542238
876,0.9701557798
877,0.9702572207
878,0.9703585466
879,0.9704597579
880,0.9705608548
881,0.9706618375
882,0.9707627064
883,0.9708634617
884,0.9709641036
885,0.9710646325
886,0.9711650484
887,0.9712653518
888,0.9713655429
889,0.9714656218
890,0.9715655889
891,0.9716654444
892,0.9717651886
893,0.9718648217
894,0.9719643439
895,0.9720637555
896,0.9721630568
897,0.972262248
898,0.9723613293
899,0.9724603009
