timestamp,left (real time),event,event_type,buy_pick,buy_price,buy_size,buy_best_bid,buy_best_ask
2026-01-13 23:29:50,11,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,UP,0.45,3209,0.52,0.54
2026-01-13 23:29:51,10,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,UP,0.47,7150,0.52,0.54
2026-01-13 23:29:51,10,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,DOWN,0.01,16465.86,0.46,0.48
2026-01-13 23:29:52,9,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,UP,0.45,3209,0.52,0.54
2026-01-13 23:29:52,8,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,DOWN,0.45,2139,0.46,0.48
2026-01-13 23:29:53,8,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,DOWN,0.46,3115,0.46,0.47
2026-01-13 23:29:53,8,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,UP,0.45,3199,0.53,0.54
2026-01-13 23:29:54,7,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,UP,0.47,7145,0.53,0.54
2026-01-13 23:29:54,6,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,DOWN,0.46,3120,0.46,0.47
2026-01-13 23:29:55,6,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,DOWN,0.37,305,0.46,0.47
2026-01-13 23:29:55,6,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,UP,0.45,1699,0.53,0.54
2026-01-13 23:29:56,5,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,DOWN,0.34,26.6,0.46,0.47
2026-01-13 23:29:56,5,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,UP,0.38,0,0.53,0.54
2026-01-13 23:29:57,4,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,DOWN,0.46,0,0.45,0.47
2026-01-13 23:29:57,4,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,UP,0.47,1816,0.53,0.55
2026-01-13 23:29:58,3,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,UP,0.48,2780.54,0.53,0.55
2026-01-13 23:29:58,2,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,DOWN,0.46,10,0.46,0.47
2026-01-13 23:29:59,2,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,DOWN,0.42,415,0.46,0.48
2026-01-13 23:29:59,2,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,UP,0.44,910,0.52,0.54
2026-01-13 23:30:01,900,"Bitcoin Up or Down - January 13, 10:45AM-11:00AM ET",price_change,UP,0.44,1287.74,0.49,0.5
