timestamp,time_left,event,event_type,buy_pick,buy_price,buy_size,buy_best_bid,buy_best_ask
2026-01-16 09:02:20,760,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.34,129.11,0.35,0.36
2026-01-16 09:02:20,760,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.62,176.94,0.64,0.65
2026-01-16 09:02:21,759,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.65,41.39,0.65,0.66
2026-01-16 09:02:21,759,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.34,240.13,0.34,0.35
2026-01-16 09:02:22,758,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.63,141.92,0.64,0.65
2026-01-16 09:02:22,758,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.29,527,0.35,0.36
2026-01-16 09:02:23,757,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.63,166.86,0.63,0.64
2026-01-16 09:02:23,757,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.36,271.87,0.36,0.37
2026-01-16 09:02:24,756,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.61,397.19,0.63,0.64
2026-01-16 09:02:24,756,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.36,279.75,0.36,0.37
2026-01-16 09:02:25,755,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.49,406,0.63,0.64
2026-01-16 09:02:25,755,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.34,84.13,0.36,0.37
2026-01-16 09:02:26,754,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.48,1055.91,0.63,0.64
2026-01-16 09:02:26,754,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.33,330.14,0.36,0.37
2026-01-16 09:02:27,753,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.32,315.64,0.37,0.38
2026-01-16 09:02:27,753,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.61,549.11,0.62,0.63
2026-01-16 09:02:28,752,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.61,628.11,0.62,0.63
2026-01-16 09:02:28,752,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.32,310.64,0.37,0.38
2026-01-16 09:02:29,751,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.61,577.47,0.63,0.64
2026-01-16 09:02:29,751,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.32,310.64,0.36,0.37
2026-01-16 09:02:30,750,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.62,291.84,0.63,0.64
2026-01-16 09:02:30,750,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.35,275,0.36,0.37
